Object ID,Object Name,Title,Culture,Medium,Link Resource,Link Image
38951,figure,,Northeastern Thailand,Copper alloy inlaid with silver and glass or obsidian,http://www.metmuseum.org/art/collection/search/38951,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38951/main-image
38952,figure,,Southern Thailand or Sumatra,Copper alloy,http://www.metmuseum.org/art/collection/search/38952,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38952/main-image
38953,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/38953,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38953/main-image
38954,figure,,Thailand (Nakhon Pathom Province),Bronze with traces of gilt,http://www.metmuseum.org/art/collection/search/38954,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38954/main-image
38955,figure,,Burma,Bronze,http://www.metmuseum.org/art/collection/search/38955,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38955/main-image
38956,figurine,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/38956,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38956/main-image
38957,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/38957,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38957/main-image
38958,figure,,Peninsular Thailand,Bronze,http://www.metmuseum.org/art/collection/search/38958,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38958/main-image
38960,figure,,Indonesia,Bronze,http://www.metmuseum.org/art/collection/search/38960,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38960/main-image
38965,figure,,India (probably Bihar),Copper alloy,http://www.metmuseum.org/art/collection/search/38965,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38965/main-image
38972,figurine,,Sri Lanka,Bronze with traces of gilt,http://www.metmuseum.org/art/collection/search/38972,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38972/main-image
38973,figurine,,Sri Lanka,Bronze,http://www.metmuseum.org/art/collection/search/38973,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38973/main-image
38974,figurine,,Sri Lanka,Bronze,http://www.metmuseum.org/art/collection/search/38974,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38974/main-image
38977,figure,,Sri Lanka,Bronze,http://www.metmuseum.org/art/collection/search/38977,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38977/main-image
